id,zip_code,city,state_code,state_name,Housing Affordability,Housing Affordability,Housing Affordability,Housing Affordability,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Job Market Strength,Job Market Strength,Job Market Strength,Job Market Strength,Living Affordability,Living Affordability,Living Affordability,Living Affordability,Living Affordability
43,62378,Versailles,IL,Illinois,$289.2 K,0.68%,6%,$128.74,72,53,64,78,58,40,36,2.9%,-0.63%,67,$55.61 K,4.5%,32,42,6%,47
44,62424,Dieterich,IL,Illinois,$210 K,1.6%,4.7%,$137.01,74,66,60,86,62,22,12,2.9%,2.03%,43,$74.38 K,5%,34,33,7.25%,31
45,62540,Kincaid,IL,Illinois,$79.5 K,1.66%,-2.2%,$35.58,43,64,61,82,57,22,17,4.2%,-0.5%,26,$63.81 K,5%,37,26,7.25%,38
46,62622,Bluff Springs,IL,Illinois,$100.6 K,2.02%,9.6%,$45.02,34,43,59,79,62,23,23,3.7%,1.14%,36,$64.83 K,5%,32,28,8.25%,33
47,62644,Havana,IL,Illinois,$56.3 K,2.28%,-5%,$25.2,62,52,57,77,62,25,19,3.9%,0.91%,18,$58.48 K,5%,39,26,7.25%,40
48,62673,Oakford,IL,Illinois,$118.8 K,1.67%,6.8%,$53.17,59,44,57,85,54,21,11,3%,0.49%,32,$63.18 K,5%,39,29,8.25%,50
49,62931,Elizabethtown,IL,Illinois,$237.5 K,0.78%,2.1%,$954.58,71,51,64,82,62,79,64,4%,0.52%,67,$54.49 K,4.5%,32,38,6%,41
50,62956,Karnak,IL,Illinois,$73.6 K,0.85%,8.1%,$32.94,24,32,67,75,55,20,11,6.3%,0.48%,38,$39.38 K,5%,38,25,7.75%,47
51,62957,McClure,IL,Illinois,$178.1 K,1.2%,-5.3%,-,58,50,60,80,55,21,11,2.7%,-0.95%,65,$62.67 K,3.1%,36,42,6%,61
52,62966,Murphysboro,IL,Illinois,$89.5 K,1.94%,2.7%,$40.06,82,57,65,81,53,35,33,3.6%,-1.18%,30,$44.85 K,5%,34,32,9.75%,43
53,62984,Shawneetown,IL,Illinois,$89.3 K,1.39%,5.2%,$39.97,41,33,65,80,60,22,12,4.5%,-0.12%,58,$40.23 K,5%,35,28,7.25%,46
54,63047,Hematite,MO,Missouri,$98.2 K,1.51%,1%,$47.45,62,46,42,82,56,21,19,4.3%,2%,39,$32.75 K,4.2%,42,26,6%,52
55,63050,Hillsboro,MO,Missouri,$516.2 K,0.88%,0.2%,$272.86,89,89,66,70,39,87,72,2.9%,-1.01%,83,$98.89 K,8.8%,24,48,0%,77
56,63136,Saint Louis,MO,Missouri,,,,,,,,,,,,,,,,,,,,
57,63349,Hawk Point,MO,Missouri,$269.6 K,0.8%,5.2%,$172.1,32,48,62,82,51,22,11,2.7%,1.44%,82,$42.5 K,5%,33,37,7.98%,64
58,63548,Lancaster,MO,Missouri,$449.9 K,0.7%,1.5%,$243.55,55,95,77,30,15,63,52,6.6%,-0.35%,60,$71.37 K,9.3%,46,41,10.25%,75
59,63630,Cadet,MO,Missouri,,,,,,,,,,,,,,,,,,,,
60,63780,Scott City,MO,Missouri,$161.4 K,0.78%,-1.8%,$119.59,40,42,63,78,65,26,16,2.8%,0.72%,46,$57.77 K,5%,33,33,8.98%,33
61,63782,Sturdivant,MO,Missouri,,,,,,,,,,,,,,,,,,,,
62,63823,Bertrand,MO,Missouri,$389.4 K,0.94%,4%,$188.17,72,65,60,79,51,42,35,3.4%,2.93%,42,$96.84 K,4.2%,28,24,6%,65
63,63837,Clarkton,MO,Missouri,$44.3 K,0.75%,-12.4%,$29.67,38,22,64,82,66,21,12,4.9%,1.61%,29,$39.22 K,5%,35,24,7.91%,32
64,63841,Dexter,MO,Missouri,$154.9 K,0.67%,-0.1%,$73.79,53,42,64,78,66,35,22,4.2%,2.04%,39,$45.62 K,5%,33,30,8.29%,31
65,63876,Senath,MO,Missouri,$75.6 K,0.72%,-17.5%,$44.73,38,20,64,83,64,21,11,4.9%,1.61%,29,$40 K,5%,38,28,7.91%,33
66,63944,Greenville,MO,Missouri,$238.5 K,1.01%,5.9%,$115.17,84,59,71,81,61,81,62,4.1%,1.74%,77,$47.49 K,4.8%,35,34,7%,38
67,64096,Waverly,MO,Missouri,$206.9 K,1.7%,4.9%,$99.98,80,64,59,78,63,72,50,3%,1.53%,72,$74.91 K,4.2%,34,34,6%,52
68,64470,Mound City,MO,Missouri,$159.8 K,1.09%,-0.7%,$67.24,56,36,62,79,47,20,13,2.8%,0.19%,48,$56.92 K,5.7%,38,31,8.5%,64
69,64484,Rushville,MO,Missouri,$114.9 K,0.66%,4.2%,$52.69,50,48,62,81,57,27,21,2.9%,1.99%,37,$62.39 K,3.2%,35,30,7%,34
70,64489,Stanberry,MO,Missouri,$84.7 K,1.2%,5.4%,$40.35,70,46,59,81,65,22,12,2.6%,3.06%,57,$66.45 K,5%,39,34,7.22%,34
71,64501,Saint Joseph,MO,Missouri,,,,,,,,,,,,,,,,,,,,
72,64503,Saint Joseph,MO,Missouri,,,,,,,,,,,,,,,,,,,,
73,64624,Braymer,MO,Missouri,$155.3 K,0.76%,7.6%,$109.24,80,37,56,79,51,22,11,2.7%,2.48%,54,$54.75 K,5%,37,27,7.72%,61
74,64640,Gallatin,MO,Missouri,$413.1 K,0.57%,-2%,$178.17,69,65,62,76,53,68,51,2.9%,2.32%,92,$68.55 K,0%,37,44,9.25%,54
75,64642,Gilman City,MO,Missouri,$102.3 K,0.86%,10.2%,$86.68,41,43,58,81,62,20,11,2.6%,1.79%,36,$50.71 K,5%,35,29,7.48%,33
76,64648,Jamesport,MO,Missouri,$792.7 K,2.04%,5.1%,$658.94,87,98,67,81,50,50,44,3.5%,1.88%,64,$110.21 K,5.5%,51,54,8.62%,70
77,64671,Polo,MO,Missouri,$146.3 K,2.32%,6.1%,$107.76,61,58,56,82,53,25,15,4.2%,0.43%,40,$57.93 K,5%,37,26,7.75%,51
78,64676,Rothville,MO,Missouri,$47.1 K,0.76%,-12.4%,$22.44,57,43,63,81,60,19,10,2.3%,0.69%,51,$28.75 K,5%,38,25,6.1%,37
79,64750,Harwood,MO,Missouri,$329.8 K,1.86%,7%,$243.41,82,95,64,48,42,64,44,4.6%,-0.49%,49,$77.62 K,5%,33,42,11.5%,85
80,64762,Liberal,MO,Missouri,$132.8 K,1.8%,-7.7%,$55.88,42,60,69,79,65,47,42,1.9%,-1.04%,26,$55.6 K,5.7%,35,32,11.25%,31
81,64804,Joplin,MO,Missouri,$196.7 K,0.72%,4.7%,$121.99,67,63,66,74,61,77,65,2.9%,1.92%,51,$51 K,5%,38,33,9.98%,35
82,65026,Eldon,MO,Missouri,$152.8 K,0.74%,8.1%,$109.6,58,40,64,77,65,33,23,3%,3.51%,67,$44.71 K,5%,35,35,8.5%,42
83,65068,Prairie Home,MO,Missouri,$228.1 K,0.7%,-3.1%,$142.47,59,59,64,77,64,20,10,2.7%,1.14%,54,$43.33 K,5%,34,38,7.22%,34
84,65254,Glasgow,MO,Missouri,$358.8 K,0.79%,6.3%,$156.89,85,60,63,74,57,61,44,3.6%,1.28%,62,$104.69 K,6.6%,42,57,0%,60
85,65258,Holliday,MO,Missouri,$247.7 K,1.35%,3.4%,$150.57,78,60,62,83,57,36,29,2.7%,1.48%,49,$65.14 K,3.1%,34,49,6%,43
86,65444,Bucyrus,MO,Missouri,$150 K,1.2%,2.4%,$117.63,50,49,57,79,66,37,25,3.5%,0.66%,28,$49.02 K,3.2%,35,31,7.25%,30
87,65484,Huggins,MO,Missouri,$264.5 K,1.06%,1.7%,$126.01,67,49,59,85,60,17,13,2.6%,3.06%,47,$53.8 K,5%,40,33,7.22%,37
88,65631,Clever,MO,Missouri,$248.6 K,0.88%,3.9%,$149.08,63,49,60,78,54,23,15,2.3%,0.27%,89,$73.58 K,5%,39,34,7.85%,53
89,65667,Hartville,MO,Missouri,$258.8 K,1.19%,7.3%,$139.32,83,67,61,68,56,41,26,3.2%,1.18%,55,$63.87 K,3.2%,36,42,7%,43
90,65791,Thayer,MO,Missouri,$123.5 K,0.57%,4%,$82.81,72,26,59,78,63,25,14,3.4%,1.77%,49,$35.36 K,5%,42,28,8.22%,33
91,66050,Lecompton,KS,Kansas,$296.3 K,1.19%,6.1%,$124.67,88,68,61,83,50,21,20,1.8%,1.58%,67,$86.98 K,5.7%,40,45,9.5%,54
92,66109,Kansas City,KS,Kansas,$219.3 K,1.16%,6%,$154.85,94,81,65,65,61,40,36,3.2%,1.78%,62,$65.26 K,5%,36,37,9.98%,50
93,66226,Shawnee,KS,Kansas,$371.9 K,1.19%,4.9%,$187.64,95,97,65,75,55,38,28,1.9%,1.42%,87,$100.65 K,5.7%,36,46,9.72%,46
94,66404,Baileyville,KS,Kansas,$134.2 K,1.35%,7.1%,-,70,48,50,97,59,17,10,6.9%,2.14%,30,$56.52 K,6.8%,29,49,5.5%,35
95,66415,Centralia,KS,Kansas,$364.7 K,0.82%,2.4%,$242.98,52,61,70,82,52,66,49,5.5%,0%,64,$50.42 K,0%,20,40,8.2%,46
96,66424,Everest,KS,Kansas,$117 K,1.22%,2.6%,$87.79,68,49,60,85,62,21,11,2.6%,-7.18%,64,$44.38 K,5.7%,40,29,7.5%,31
97,66701,Fort Scott,KS,Kansas,$107.8 K,1.99%,3.6%,$29.13,44,51,63,76,65,36,23,2.7%,-2.87%,39,$45.21 K,5.7%,39,28,10.4%,31
98,66769,Redfield,KS,Kansas,$137.9 K,1.32%,-5.1%,$101.88,52,45,55,92,60,24,15,1.7%,0.92%,46,$56.21 K,0%,39,34,6.5%,27
99,66830,Admire,KS,Kansas,$156.5 K,1.5%,3.2%,$133.44,58,56,61,83,66,20,10,1.7%,0.78%,43,$51.48 K,5.7%,41,32,7.5%,30
100,66839,Burlington,KS,Kansas,$243.3 K,0.84%,6%,$151.17,63,49,66,76,62,75,59,3.6%,1.96%,76,$52.96 K,4.8%,38,33,6.75%,36
101,66864,Neosho Rapids,KS,Kansas,$163.7 K,1.5%,6.4%,$135.99,66,55,62,79,58,20,10,1.7%,0.78%,34,$74.5 K,5.7%,40,27,8.5%,29
102,66869,Strong City,KS,Kansas,$87.2 K,1.58%,-2%,$66.15,80,45,61,84,59,23,12,2.1%,-4.14%,71,$46.96 K,5.7%,43,29,8.5%,40
103,66933,Barnes,KS,Kansas,$220.8 K,1%,6.5%,$126.57,50,30,61,71,39,31,18,3.1%,1.25%,53,$46.12 K,5.8%,37,32,8%,65
104,67017,Benton,KS,Kansas,$441.8 K,0.74%,3.2%,$196.28,89,75,62,72,55,100,98,2.1%,2.08%,95,$99.07 K,4.9%,36,45,9.5%,41
105,67026,Clearwater,KS,Kansas,$362.9 K,0.75%,2.7%,$213.87,75,100,73,76,60,57,48,2.9%,2.78%,63,$59.36 K,0%,39,55,7%,57
106,67031,Conway Springs,KS,Kansas,$157 K,1.84%,5%,$94.18,62,62,66,77,51,21,11,2.2%,-0.37%,68,$66.64 K,5.7%,40,28,8.5%,48
107,67041,Elbing,KS,Kansas,$190.3 K,1.55%,2.2%,$146.64,75,64,61,83,63,21,10,2.1%,0.16%,51,$76.25 K,5.7%,37,29,6.5%,45
108,67049,Freeport,KS,Kansas,$596.6 K,1.58%,3%,$362.73,81,100,68,72,47,79,67,3.9%,1.84%,62,$109.39 K,5.5%,52,54,8.62%,98
109,67106,Milton,KS,Kansas,$425 K,2.11%,6.8%,$190.21,96,93,56,73,46,63,59,3.5%,-0.51%,61,$107.04 K,5%,36,44,8.25%,76
110,67109,Mullinville,KS,Kansas,$77.5 K,1.33%,-3.6%,$32.61,42,44,64,81,63,20,11,1.6%,-5.46%,30,$75.36 K,5.7%,43,24,8.5%,27
111,67114,Newton,KS,Kansas,$1.41 M,1.08%,10.3%,$556.57,99,100,60,79,66,22,10,2.3%,0.86%,74,$176.37 K,5%,49,81,6.25%,60
112,67460,Mcpherson,KS,Kansas,$202.8 K,1.53%,3.3%,$152.98,78,67,62,81,65,40,32,1.4%,2.97%,64,$69.81 K,5.7%,44,36,11%,22
113,67554,Lyons,KS,Kansas,$266.5 K,2.02%,4.6%,$119.28,87,100,67,54,44,49,43,4.6%,-0.49%,57,$78.3 K,5%,33,41,10.25%,84
114,67561,Nickerson,KS,Kansas,$103.4 K,1.86%,4.2%,$43.51,58,65,64,88,64,22,14,2.2%,-0.01%,38,$50.35 K,5.7%,42,28,8.5%,30
115,67570,Pretty Prairie,KS,Kansas,$166.6 K,1.73%,3.6%,$70.1,58,59,62,79,62,21,10,2.2%,-0.01%,38,$55.75 K,5.7%,39,29,8.5%,32
116,67632,Damar,KS,Kansas,$456.7 K,1.01%,10.8%,$248.33,87,54,55,94,63,19,10,5.7%,7.2%,42,$54.68 K,6.8%,39,69,5.5%,43
117,67644,Kirwin,KS,Kansas,$89.9 K,1.69%,-0.5%,$37.83,72,48,56,82,63,16,11,1.5%,-3.2%,39,$62.75 K,5.7%,41,19,8.5%,27
118,67732,Brewster,KS,Kansas,$688 K,0.7%,7.8%,$376.57,94,64,64,87,51,19,10,2.7%,4.64%,74,$95.85 K,5%,47,66,6.25%,54
119,67749,Oberlin,KS,Kansas,$202.2 K,1.46%,4.2%,$114.64,81,72,59,82,69,39,40,2.8%,2.24%,50,$67.66 K,3.2%,32,42,6.5%,24
120,67835,Cimarron,KS,Kansas,$314.1 K,0.4%,-0.8%,$87.07,70,74,61,75,52,49,37,3.3%,1.49%,70,$74.65 K,4.4%,33,41,8.2%,59
121,67871,Scott City,KS,Kansas,$161.4 K,0.78%,-1.8%,$119.59,40,42,63,78,65,26,16,2.8%,0.72%,46,$57.77 K,5%,33,33,8.98%,33
122,67954,Rolla,KS,Kansas,$207 K,0.75%,2.1%,$122.22,79,47,63,76,68,61,54,2.9%,0.96%,57,$37.69 K,5%,31,34,8.6%,26
123,68117,Omaha,NE,Nebraska,$257.1 K,1.73%,5.5%,$169.49,89,100,57,80,61,49,41,2.4%,0.39%,69,$70.2 K,6.6%,35,36,7%,41
124,68137,Omaha,NE,Nebraska,$257.1 K,1.73%,5.5%,$169.49,89,100,57,80,61,49,41,2.4%,0.39%,69,$70.2 K,6.6%,35,36,7%,41
125,68164,Omaha,NE,Nebraska,$257.1 K,1.73%,5.5%,$169.49,89,100,57,80,61,49,41,2.4%,0.39%,69,$70.2 K,6.6%,35,36,7%,41
126,68321,Brownville,NE,Nebraska,$217.4 K,1.5%,4.9%,$135.66,68,64,53,85,60,31,26,4.5%,2.95%,39,$78.3 K,5.5%,42,42,8%,36
127,68372,Hickman,NE,Nebraska,$354.9 K,1.59%,1.8%,$229.72,87,89,59,85,53,24,12,1.9%,0.52%,81,$96.98 K,6.6%,31,39,7%,53
128,68527,Lincoln,NE,Nebraska,$268.6 K,1.62%,4.2%,$184.82,88,86,57,81,61,48,40,2%,0.52%,72,$67.85 K,6.6%,30,39,7.25%,40
129,68651,Osceola,NE,Nebraska,$79.9 K,0.57%,-4%,$165.08,25,38,67,79,61,27,16,4.2%,2.68%,20,$44.49 K,4.9%,33,31,10%,33
130,68761,Oakdale,NE,Nebraska,$332.3 K,1%,1.2%,$265.17,85,75,56,74,49,47,34,1.8%,0.16%,74,$86 K,6.8%,35,46,7.88%,65
131,68843,Hampton,NE,Nebraska,$258.3 K,0.98%,7%,$161.06,69,52,74,84,60,56,47,3.7%,3.42%,52,$64.43 K,5.8%,34,36,6%,41
132,68845,Kearney,NE,Nebraska,$276.6 K,1.58%,2.4%,$185.81,85,74,56,84,66,49,48,1.7%,0.03%,74,$66.84 K,6.6%,30,40,7%,23
133,68852,Litchfield,NE,Nebraska,$559.2 K,1.82%,6%,$227.85,86,84,55,84,55,20,10,2.5%,-0.14%,75,$134 K,0%,47,58,0%,55
134,68855,Mason City,NE,Nebraska,$145.7 K,1.61%,0.1%,$107.87,57,57,52,86,66,68,58,3.2%,-0.42%,29,$60.79 K,5.7%,38,28,7%,25
135,68862,Ord,NE,Nebraska,$118.5 K,1.53%,-0.2%,$54.13,55,51,56,91,57,23,16,1.9%,0.35%,50,$62.32 K,6.6%,33,32,7.5%,24
136,68872,Saint Libory,NE,Nebraska,,,,,,,,,,,,,,,,,,,,
137,68934,Deweese,NE,Nebraska,$268.9 K,1.35%,8.9%,$229.85,51,48,57,84,58,20,10,2%,-0.44%,46,$21.56 K,6.6%,30,21,6.5%,35
138,68937,Elwood,NE,Nebraska,$738.6 K,2.04%,5.1%,-,90,93,65,80,65,76,68,3.5%,1.88%,60,$161.41 K,5.5%,52,60,8.62%,70
139,68938,Fairfield,NE,Nebraska,$597.8 K,0.76%,0.4%,$311.75,69,71,78,68,41,84,65,5%,-0.82%,69,$98.86 K,9.3%,38,61,8.38%,75
140,69343,Gordon,NE,Nebraska,$392.7 K,2.04%,5.1%,$153.51,69,94,66,82,59,39,26,3.5%,1.88%,78,$110.31 K,5.5%,53,54,8.62%,63
141,70082,Pointe A La Hache,LA,Louisiana,$73.8 K,0.48%,-2.7%,$31.37,88,39,75,80,46,18,10,3.1%,0.89%,56,$11.78 K,4.2%,26,31,8.95%,81
142,70356,Gibson,LA,Louisiana,$333.6 K,0.88%,-2.1%,$176.71,58,96,76,73,53,31,24,3%,2.64%,71,$73.17 K,0%,34,52,7.5%,71
143,70358,Grand Isle,LA,Louisiana,$498.3 K,1.38%,3.8%,$266.32,89,56,57,84,51,18,10,1.8%,1.66%,75,$93.61 K,6.6%,49,66,6%,56
144,70427,Bogalusa,LA,Louisiana,$86.9 K,0.39%,-14.7%,-,34,35,66,72,65,37,28,4.1%,-1.82%,51,$39.21 K,4.2%,30,28,9.94%,50
145,70435,Covington,LA,Louisiana,$181.1 K,1.17%,9.4%,$132.19,67,46,62,65,62,51,50,3.9%,0.6%,62,$53.77 K,4.5%,30,37,6%,56
146,70538,Franklin,LA,Louisiana,$868.9 K,0.48%,1.4%,$307.44,98,76,66,79,47,92,73,2.5%,2.27%,93,$106.59 K,0%,34,56,9.75%,60
147,70548,Kaplan,LA,Louisiana,$127.3 K,0.35%,-4.8%,$57.73,61,51,72,81,52,28,20,3.4%,0.02%,39,$38.51 K,4.2%,28,19,10.2%,67
148,70555,Maurice,LA,Louisiana,$279.3 K,2.93%,9.4%,$158.4,25,43,63,81,58,17,10,6.1%,0.59%,38,$70.11 K,5.5%,43,46,6.62%,52
149,70559,Morse,LA,Louisiana,$373.2 K,1.03%,5.4%,$127.32,82,100,41,87,57,41,41,2.2%,-0.56%,64,$72.76 K,6.8%,32,33,7.38%,50
150,70582,Saint Martinville,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
151,70661,Starks,LA,Louisiana,$362.1 K,1.61%,10.9%,$198.48,90,69,50,93,57,17,10,1.1%,2.59%,73,$76.43 K,6.6%,49,58,6%,45
152,70719,Brusly,LA,Louisiana,$263.1 K,0.55%,1.6%,$138.57,65,36,63,71,50,24,13,2.9%,0.18%,67,$105.36 K,4.2%,29,40,9.45%,69
153,70748,Jackson,LA,Louisiana,$287.4 K,0.8%,-2.4%,$164.06,89,70,71,67,58,66,55,3.1%,3.76%,82,$64.14 K,0%,37,43,7.5%,61
154,70753,Lettsworth,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
155,71046,Keatchie,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
156,71209,Monroe,LA,Louisiana,$546.1 K,1.98%,8.1%,$232.28,92,90,64,77,39,20,10,4.7%,0.46%,72,$107.54 K,5.5%,39,56,6.62%,100
157,71286,Transylvania,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
158,71325,Cheneyville,LA,Louisiana,$115.8 K,0.55%,5.5%,$62.33,56,57,62,79,68,20,10,3.4%,-0.33%,38,$17.92 K,4.2%,32,22,10.45%,57
159,71345,Lebeau,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
160,71356,Morrow,LA,Louisiana,$240.4 K,0.82%,4.4%,$148.38,52,46,70,59,45,64,43,4%,1.22%,71,$64.89 K,5.8%,38,30,8%,77
161,71357,Newellton,LA,Louisiana,$106.6 K,0.33%,-9.2%,$416.16,22,19,63,76,63,21,11,4.5%,1.7%,14,$25.61 K,4.2%,30,22,10.45%,41
